symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
LLY,2023-12-31,f,1.30431,-0.05350,49009,"[365.84,343.42,468.98,537.13,582.92]","[3994198.0000,4095501.0000,4237042.0000,4457074.0000,4544585.0000]","[3994198,4095501,4237042,4457074,4544585]",182.02,2649129,4544585.0000,87511.0000,1.96
CAT,2023-12-31,f,1.18582,-0.04759,51155,"[239.56,228.84,246.05,273.00,295.67]","[7390616.0000,7522922.0000,7724306.0000,7965932.0000,8145840.0000]","[7390616,7522922,7724306,7965932,8145840]",156.73,2408481,8145840.0000,179908.0000,2.26
AVGO,2023-12-31,f,1.17102,0.20440,76668,"[559.13,641.54,867.43,830.58,1116.25]","[1155430.0000,1194312.0000,1956668.0000,2051947.0000,2130708.0000]","[1155430,1194312,1956668,2051947,2130708]",681.84,2378403,2130708.0000,78761.0000,3.84
FCX,2023-12-31,f,1.16767,0.01120,41146,"[38.00,40.91,40.00,37.29,42.57]","[53320760.0000,53896870.0000,54829199.0000,54680244.0000,55710695.0000]","[53320760,53896870,54829199,54680244,55710695]",20.04,2371604,55710695.0000,1030451.0000,1.88
LRCX,2023-12-31,f,1.14638,0.12017,60529,"[420.30,530.12,642.86,626.77,783.26]","[2641859.0000,2700722.0000,2812275.0000,2886795.0000,2972650.0000]","[2641859,2700722,2812275,2886795,2972650]",453.93,2328358,2972650.0000,85855.0000,2.97
V,2023-12-31,f,1.14381,0.00450,46526,"[207.76,225.46,237.48,230.01,260.35]","[8331547.0000,8391484.0000,8544112.0000,8733412.0000,8923176.0000]","[8331547,8391484,8544112,8733412,8923176]",101.75,2323149,8923176.0000,189764.0000,2.17
GS,2023-12-31,f,1.04807,0.06339,54078,"[343.38,327.11,322.54,323.57,385.77]","[4900431.0000,5049707.0000,5191754.0000,5365561.0000,5518035.0000]","[4900431,5049707,5191754,5365561,5518035]",256.28,2128692,5518035.0000,152474.0000,2.84
JPM,2023-12-31,f,0.99235,0.05578,72838,"[134.10,130.31,145.44,145.02,170.10]","[8119251.0000,8435626.0000,8994224.0000,11386800.0000,11849090.0000]","[8119251,8435626,8994224,11386800,11849090]",103.01,2015530,11849090.0000,462290.0000,4.06
NFLX,2023-12-31,f,0.98790,0.12209,33844,"[294.88,345.48,440.49,377.60,486.88]","[6434765.0000,3910243.0000,3990832.0000,4042806.0000,4121104.0000]","[6434765,3910243,3990832,4042806,4121104]",423.27,2006483,4121104.0000,78298.0000,1.94
INTU,2023-12-31,f,0.95858,0.13427,153592,"[389.22,445.83,458.19,510.94,625.03]","[2412769.0000,2508206.0000,2644683.0000,2844543.0000,3114957.0000]","[2412769,2508206,2644683,2844543,3114957]",523.51,1946942,3114957.0000,270414.0000,9.51
ORCL,2023-12-31,f,0.95705,-0.17147,36790,"[81.74,92.92,119.09,105.92,105.43]","[17745233.0000,17886130.0000,18534257.0000,18785307.0000,18437178.0000]","[17745233,17886130,18534257,18785307,18437178]",50.58,1943832,18437178.0000,-348129.0000,-1.85
META,2023-12-31,f,0.95100,0.09243,135585,"[120.34,211.94,286.98,300.21,353.96]","[9132669.0000,4758354.0000,4883576.0000,5042438.0000,5456958.0000]","[9132669,4758354,4883576,5042438,5456958]",269.11,1931545,5456958.0000,414520.0000,8.22
